Gene	Mean.UTR5.Length_Mouse	Median.UTR5.Length_Mouse	Human	Mean.UTR5.Length_Human	Median.UTR5.Length_Human
ENSMUSG00000027318	300	300	ENSG00000149451	125	127
ENSMUSG00000027322	649	649	ENSG00000088827	120	120
ENSMUSG00000027323	115	115	ENSG00000051180	175.66666666666666	200
ENSMUSG00000027324	34	34	ENSG00000166133	22.5	22.5
ENSMUSG00000027326	177.33333333333334	105	ENSG00000137812	178	144
ENSMUSG00000027327	98.33333333333333	98	ENSG00000101220	81	86
ENSMUSG00000027329	243	109	ENSG00000101222	161	161
ENSMUSG00000027330	227.5	227.5	ENSG00000101224	231	231.5
ENSMUSG00000027331	145.5	145.5	ENSG00000128944	81.33333333333333	104
ENSMUSG00000027332	67	67	ENSG00000128928	183.5	183.5
ENSMUSG00000027333	102	73	ENSG00000088826	122.8	150
ENSMUSG00000027335	115	115	ENSG00000171873	330	330
ENSMUSG00000027338	37.5	44	NA	NA	NA
ENSMUSG00000027339	109	44	ENSG00000101265	45.25	42
ENSMUSG00000027340	122	122	ENSG00000089057	124.5	119.5
ENSMUSG00000027341	437	174	ENSG00000089063	167.9090909090909	118
ENSMUSG00000027342	278	278	ENSG00000132646	134.33333333333334	127
ENSMUSG00000027344	108.33333333333333	157	ENSG00000150667	110.5	110.5
ENSMUSG00000027346	88.08333333333333	77.5	ENSG00000125772	96.5	96.5
ENSMUSG00000027347	292	292	ENSG00000172575	180.0909090909091	150
ENSMUSG00000027349	29	29	ENSG00000171262	21.5	21.5
ENSMUSG00000027350	456	456	ENSG00000089199	124	124
ENSMUSG00000027351	219	219	ENSG00000166068	350	350
ENSMUSG00000027353	174.5	174.5	ENSG00000286235	67	67
ENSMUSG00000027355	34.5	34.5	ENSG00000166069	55.6	55
ENSMUSG00000027356	301	301	ENSG00000101311	1264.6666666666667	257
ENSMUSG00000027357	111.33333333333333	147	ENSG00000088766	142.66666666666666	150
ENSMUSG00000027358	600	600	ENSG00000125845	598.5	598.5
ENSMUSG00000027359	748	748	ENSG00000140284	167.66666666666666	202.5
ENSMUSG00000027360	109	109	ENSG00000140287	73	73
ENSMUSG00000027361	188.42857142857142	189	ENSG00000104064	187	169
ENSMUSG00000027363	113	128	ENSG00000138592	160.8	128
ENSMUSG00000027364	170	170	ENSG00000170236	160.5	160.5
ENSMUSG00000027365	197.5	197.5	ENSG00000092439	251	251
ENSMUSG00000027366	223	223	ENSG00000138600	174.66666666666666	175
ENSMUSG00000027367	217.5	217.5	ENSG00000084090	393	393
ENSMUSG00000027368	79	79	ENSG00000158050	86	86
ENSMUSG00000027371	70	70	ENSG00000115042	111.75	138
ENSMUSG00000027374	206	206	ENSG00000144029	213	115
ENSMUSG00000027375	324	324	ENSG00000172005	85	85
ENSMUSG00000027376	106	106	ENSG00000155066	135	135
ENSMUSG00000027377	66	66	ENSG00000144063	130	130
ENSMUSG00000027378	43	43	ENSG00000144061	174.6	74
ENSMUSG00000027379	117	117	ENSG00000169679	68	68
ENSMUSG00000027380	116	133	ENSG00000153093	150.25	171.5
ENSMUSG00000027381	171.6	213	ENSG00000153094	153	162
ENSMUSG00000027384	63	63	ENSG00000101247	30	30
ENSMUSG00000027386	230	230	ENSG00000144152	191.33333333333334	230
ENSMUSG00000027387	153	153	ENSG00000144161	61	61
ENSMUSG00000027394	205	205	ENSG00000114999	189	189
ENSMUSG00000027395	76	76	ENSG00000125630	236	116
ENSMUSG00000027397	302.6666666666667	270	ENSG00000144136	228.5	228.5
ENSMUSG00000027398	43.5	43.5	ENSG00000125538	43.5	43.5
ENSMUSG00000027399	30	30	ENSG00000115008	29.5	29.5
ENSMUSG00000027400	67.66666666666667	60	ENSG00000101327	132.8	62
ENSMUSG00000027401	54	54	ENSG00000286022	120	120
ENSMUSG00000027403	87	87	ENSG00000166948	64.5	64.5
ENSMUSG00000027404	167	167	ENSG00000125835	131	131
ENSMUSG00000027405	31.5	31.5	ENSG00000101361	29	29
ENSMUSG00000027406	87	87	ENSG00000101365	20	28
ENSMUSG00000027408	68	68	ENSG00000088882	55	55
ENSMUSG00000027409	95.6	42	NA	NA	NA
ENSMUSG00000027411	30	30	ENSG00000215305	51	51
ENSMUSG00000027412	121.25	118.5	ENSG00000132793	73.66666666666667	31
ENSMUSG00000027416	27	27	ENSG00000125879	44	44
ENSMUSG00000027419	335	335	ENSG00000125851	205.5	258
ENSMUSG00000027420	127	127	ENSG00000125864	129.4	135
ENSMUSG00000027422	143	143	ENSG00000125844	162.22222222222223	77
ENSMUSG00000027423	127.66666666666667	145	ENSG00000089006	218.71428571428572	281
ENSMUSG00000027424	248.25	262.5	ENSG00000125871	69.75	64
ENSMUSG00000027425	184.71428571428572	159	ENSG00000149474	275.8181818181818	253
ENSMUSG00000027427	131	131	ENSG00000132664	111.07142857142857	117.5
ENSMUSG00000027428	91	91	ENSG00000089050	58	58
ENSMUSG00000027429	50.5	50.5	ENSG00000101310	242.16666666666666	229.5
ENSMUSG00000027430	152	152	ENSG00000284776	26	26
ENSMUSG00000027431	87	87	ENSG00000132631	33	33
ENSMUSG00000027433	126	126	ENSG00000088930	68	68
ENSMUSG00000027434	234.5	234.5	ENSG00000125820	395	395
ENSMUSG00000027435	139	139	ENSG00000125810	132	132
ENSMUSG00000027438	104	104	ENSG00000125814	111	86
ENSMUSG00000027439	105	105	ENSG00000125812	38.5	38.5
ENSMUSG00000027442	106.75	97.5	ENSG00000125815	184.5	184.5
ENSMUSG00000027443	28	28	NA	NA	NA
ENSMUSG00000027444	99	99	NA	NA	NA
ENSMUSG00000027445	64	64	ENSG00000101435	34	34
ENSMUSG00000027446	54	54	NA	NA	NA
ENSMUSG00000027447	199	199	NA	NA	NA
ENSMUSG00000027452	61	61	ENSG00000154930	316.25	175
ENSMUSG00000027454	125	125	ENSG00000101003	137.3125	137.5
ENSMUSG00000027455	48.333333333333336	15	ENSG00000088833	41	25
ENSMUSG00000027456	51	51	ENSG00000125775	81	55
ENSMUSG00000027457	154	112.5	ENSG00000101298	177	105.5
ENSMUSG00000027459	157.8	96	ENSG00000125898	121.125	103
ENSMUSG00000027460	122	122	ENSG00000101280	120	120
ENSMUSG00000027463	88.6	74	ENSG00000101276	218.14285714285714	186
ENSMUSG00000027465	146	146	ENSG00000125875	126.4	128
ENSMUSG00000027466	194	158	ENSG00000125826	468.3333333333333	456
ENSMUSG00000027468	27	27	NA	NA	NA
ENSMUSG00000027469	153.125	113.5	ENSG00000088325	215	219.5
ENSMUSG00000027470	196	196	ENSG00000101306	131.33333333333334	73
ENSMUSG00000027472	107	107	ENSG00000088356	85	85
ENSMUSG00000027474	28.5	28.5	ENSG00000101331	11	11
ENSMUSG00000027475	78	78	ENSG00000101350	90	90
ENSMUSG00000027478	185.16666666666666	205.5	ENSG00000088305	170.5	184
ENSMUSG00000027479	74.5	74.5	ENSG00000101367	39	39
ENSMUSG00000027480	86	86	ENSG00000167098	59.666666666666664	67
ENSMUSG00000027481	50.5	50.5	ENSG00000078898	45.5	45.5
ENSMUSG00000027482	200	200	ENSG00000131059	185	185
ENSMUSG00000027483	29.5	29.5	NA	NA	NA
ENSMUSG00000027484	31.5	31.5	ENSG00000198183	42	55
ENSMUSG00000027485	52.666666666666664	42	ENSG00000125999	41	41
ENSMUSG00000027487	66.4	49	ENSG00000101391	95.6	92
ENSMUSG00000027488	119	119	ENSG00000101400	143	143
ENSMUSG00000027489	19.5	19.5	ENSG00000125967	93.5	93.5
ENSMUSG00000027490	350.5	350.5	ENSG00000101412	121	121
ENSMUSG00000027495	97	97	ENSG00000124098	32	32
ENSMUSG00000027496	57.75	57	ENSG00000087586	106.9	104
ENSMUSG00000027498	163	163	ENSG00000101138	50.5	50.5
ENSMUSG00000027499	53.333333333333336	50	ENSG00000171033	90.4	114
ENSMUSG00000027500	252	252	ENSG00000104435	48.5	50.5
ENSMUSG00000027502	115	115	ENSG00000022277	89.33333333333333	84
ENSMUSG00000027505	73	73	ENSG00000124103	65	65
ENSMUSG00000027506	100.14285714285714	64	ENSG00000276418	322	322
ENSMUSG00000027508	219.6	76	ENSG00000076641	177.75	87
ENSMUSG00000027509	132.5	132.5	ENSG00000101146	171.6	168
ENSMUSG00000027510	190	138	ENSG00000132819	124.6	154
ENSMUSG00000027513	82.5	82.5	ENSG00000124253	67	67
ENSMUSG00000027514	141.5	141.5	ENSG00000124256	170.33333333333334	131
ENSMUSG00000027517	125.66666666666667	163	ENSG00000124227	NA	NA
ENSMUSG00000027518	78	78	ENSG00000124237	63	63
ENSMUSG00000027519	298	298	ENSG00000124209	262	262
ENSMUSG00000027520	94.5	72	ENSG00000204186	142.28571428571428	137
ENSMUSG00000027522	136	136	ENSG00000124222	279.25	140
ENSMUSG00000027523	258.7647058823529	185	ENSG00000087460	198.22222222222223	173
ENSMUSG00000027524	258	258	ENSG00000124205	252	234
ENSMUSG00000027525	166.85714285714286	110	ENSG00000087495	273	218.5
ENSMUSG00000027528	58.333333333333336	58	NA	NA	NA
ENSMUSG00000027530	122.5	88	ENSG00000197416	82.4	75
ENSMUSG00000027531	57.333333333333336	51	ENSG00000133731	45.6	48
ENSMUSG00000027533	92	92	ENSG00000164687	176.66666666666666	60
ENSMUSG00000027534	161.5	179.5	ENSG00000104497	128.6	96
ENSMUSG00000027536	125	125	ENSG00000164695	179	179
ENSMUSG00000027540	167	167	ENSG00000196396	160	145
ENSMUSG00000027544	112.4	119	ENSG00000101096	211.4	220
ENSMUSG00000027546	127.2	51	ENSG00000054793	12.5	12.5
ENSMUSG00000027547	172	172	ENSG00000101115	93.66666666666667	101
ENSMUSG00000027550	122.33333333333333	111	ENSG00000133739	473.5	473.5
ENSMUSG00000027551	218.66666666666666	125	ENSG00000020256	173.4	132
ENSMUSG00000027552	179	179	ENSG00000133740	143.28571428571428	139
ENSMUSG00000027555	82	82	ENSG00000185015	371	371
ENSMUSG00000027556	54.333333333333336	64	ENSG00000133742	192.42857142857142	68
ENSMUSG00000027559	34	34	ENSG00000164879	51	51
ENSMUSG00000027560	316	316	ENSG00000101134	159.8	115
ENSMUSG00000027562	325	325	ENSG00000104267	75	75
ENSMUSG00000027564	55	55	NA	NA	NA
ENSMUSG00000027566	48.5	48.5	ENSG00000101182	113.5	118
ENSMUSG00000027568	316.5	316.5	ENSG00000101188	372	372
ENSMUSG00000027569	175.66666666666666	197	ENSG00000101189	51	51
ENSMUSG00000027570	90.66666666666667	71	NA	NA	NA
ENSMUSG00000027573	301	234	ENSG00000101193	59.5	59.5
ENSMUSG00000027574	75	75	ENSG00000101198	119.5	122.5
ENSMUSG00000027575	151.88888888888889	96	ENSG00000101199	78.45454545454545	68
ENSMUSG00000027577	117	117	ENSG00000101204	184	184
ENSMUSG00000027579	413	413	ENSG00000125508	286	286
ENSMUSG00000027580	86.75	67.5	ENSG00000130589	438.6666666666667	424
ENSMUSG00000027581	288	288	ENSG00000197457	95.66666666666667	79
ENSMUSG00000027582	247.66666666666666	267	ENSG00000197114	90.16666666666667	97
ENSMUSG00000027583	102	102	ENSG00000130584	128.75	157
ENSMUSG00000027584	116	130	ENSG00000125510	140	142
ENSMUSG00000027589	102.75	101.5	ENSG00000203880	99.75	122.5
ENSMUSG00000027593	298.6666666666667	404	ENSG00000125970	199.75	152
ENSMUSG00000027596	69	86	ENSG00000101440	89.66666666666667	67
ENSMUSG00000027597	105	105	NA	NA	NA
ENSMUSG00000027598	80.8	77	ENSG00000078747	65.15384615384616	70
ENSMUSG00000027599	97	97	ENSG00000104442	146.5	165.5
ENSMUSG00000027601	128.75	127.5	ENSG00000066855	65.5	65.5
ENSMUSG00000027602	310	310	ENSG00000101460	95.66666666666667	73
ENSMUSG00000027603	51	51	ENSG00000131067	41	41
ENSMUSG00000027605	104.5	104.5	ENSG00000131069	33	33
ENSMUSG00000027606	107.66666666666667	98.5	ENSG00000147570	98	124
ENSMUSG00000027610	55.5	49.5	ENSG00000100983	213.66666666666666	69.5
ENSMUSG00000027611	281	281	ENSG00000101000	83	83
ENSMUSG00000027612	131	131	ENSG00000125966	49	49
ENSMUSG00000027613	361	361	ENSG00000242372	69.2	45
ENSMUSG00000027615	43.5	43.5	ENSG00000163755	86	86
ENSMUSG00000027618	43	43	ENSG00000244005	129.6	64
ENSMUSG00000027620	198.25	214	ENSG00000131051	259	298
ENSMUSG00000027624	223.71428571428572	199	ENSG00000088367	76.72727272727273	102
ENSMUSG00000027628	193.75	215.5	ENSG00000131043	227.72727272727272	148
ENSMUSG00000027630	146	125	ENSG00000177565	118.07142857142857	96
ENSMUSG00000027634	46.25	45	ENSG00000101079	39.333333333333336	34.5
ENSMUSG00000027635	193	140.5	ENSG00000149636	114.85714285714286	99
ENSMUSG00000027636	146.5	121	ENSG00000101082	149.33333333333334	45
ENSMUSG00000027637	176	176	ENSG00000259399	58.5	58.5
ENSMUSG00000027639	49	40	ENSG00000101347	101	65
ENSMUSG00000027641	57	57	ENSG00000080839	65	65
ENSMUSG00000027642	220.5	220.5	ENSG00000118705	387	196
ENSMUSG00000027643	58.333333333333336	71	ENSG00000118702	56	72
ENSMUSG00000027646	86.125	87	ENSG00000197122	97.625	117
ENSMUSG00000027649	129	129	ENSG00000132792	94.28571428571429	91
ENSMUSG00000027650	48.666666666666664	45	ENSG00000101407	75.8	58
ENSMUSG00000027651	215.5	184	ENSG00000101413	202	202
ENSMUSG00000027652	172.5	202	ENSG00000170471	134.75	128.5
ENSMUSG00000027654	21	21	ENSG00000101447	33.5	33.5
ENSMUSG00000027655	82	82	ENSG00000101452	46.5	46.5
ENSMUSG00000027656	127	127	ENSG00000064205	218.25	171.5
ENSMUSG00000027660	272.14285714285717	100	ENSG00000136603	292.14285714285717	178
ENSMUSG00000027661	258	258	ENSG00000197496	63	63
ENSMUSG00000027663	116	116	ENSG00000172667	250.2	215
ENSMUSG00000027665	63	55	ENSG00000121879	117.66666666666667	76
ENSMUSG00000027667	160.6	192	ENSG00000121864	141.2	82
ENSMUSG00000027668	196.33333333333334	231	ENSG00000171109	66.66666666666667	91
ENSMUSG00000027669	110.6	79	ENSG00000114450	86.55555555555556	57
ENSMUSG00000027670	74	74	ENSG00000149635	94	94
ENSMUSG00000027671	349	349	ENSG00000136518	120.4	88
ENSMUSG00000027673	95.66666666666667	92	ENSG00000136521	22.75	23.5
ENSMUSG00000027674	223.5	187	ENSG00000114757	196.57142857142858	183
ENSMUSG00000027676	107	107	ENSG00000284862	101.5	101.5
ENSMUSG00000027677	178.4	66	ENSG00000163728	73	69
ENSMUSG00000027678	77.33333333333333	79	ENSG00000124151	85.6	79
ENSMUSG00000027679	104.75	106	ENSG00000205981	102.66666666666667	111
ENSMUSG00000027680	66.66666666666667	61.5	ENSG00000114416	94.07692307692308	57
ENSMUSG00000027684	304.85714285714283	135	ENSG00000085276	224.1818181818182	80
ENSMUSG00000027690	114	114	ENSG00000163581	50	50
ENSMUSG00000027692	254	254	ENSG00000154310	343.5	343.5
ENSMUSG00000027695	113.4	150	ENSG00000075651	52	40
ENSMUSG00000027698	93.5	93.5	ENSG00000144959	156.25	110.5
ENSMUSG00000027699	120.25	141.5	ENSG00000114346	150	152.5
ENSMUSG00000027702	105.5	105.5	ENSG00000171757	300.25	359.5
ENSMUSG00000027703	266	340	ENSG00000188306	191.33333333333334	177
ENSMUSG00000027706	473	473	ENSG00000008952	15.5	15.5
ENSMUSG00000027708	249.5	135.5	ENSG00000043093	84.5	82
ENSMUSG00000027709	121	121	ENSG00000078070	168.33333333333334	55
ENSMUSG00000027710	86	86	ENSG00000177646	294.85714285714283	78
ENSMUSG00000027712	175	175	ENSG00000164111	89.25	102
ENSMUSG00000027713	198	198	NA	NA	NA
ENSMUSG00000027714	80	80	ENSG00000123737	141	105
ENSMUSG00000027715	404.6666666666667	327	ENSG00000145386	255	255
ENSMUSG00000027716	188	188	ENSG00000138741	399.5	399.5
ENSMUSG00000027718	53	53	ENSG00000138684	55	55
ENSMUSG00000027719	114	84	ENSG00000164113	87.66666666666667	89.5
ENSMUSG00000027720	53	53	ENSG00000109471	285	285
ENSMUSG00000027722	172.33333333333334	43	ENSG00000145375	69	69
ENSMUSG00000027737	351.5	351.5	ENSG00000151012	280	280
ENSMUSG00000027739	366	366	ENSG00000172007	112.5	112.5
ENSMUSG00000027742	28.5	28.5	ENSG00000133103	82.5	82.5
ENSMUSG00000027744	66	66	ENSG00000133115	119.66666666666667	110
ENSMUSG00000027746	48	48	ENSG00000120686	85.33333333333333	71
ENSMUSG00000027748	129.66666666666666	156	ENSG00000133107	135.5	153.5
ENSMUSG00000027750	26	26	ENSG00000133110	50.2	35
ENSMUSG00000027751	183.42857142857142	82	ENSG00000102710	146.33333333333334	142.5
ENSMUSG00000027752	369	369	ENSG00000120699	462.03846153846155	111
ENSMUSG00000027761	46	46	ENSG00000114771	68.5	68.5
ENSMUSG00000027762	57	57	ENSG00000198829	52.5	52.5
ENSMUSG00000027763	338	202	ENSG00000152601	432.875	337.5
ENSMUSG00000027765	645	645	ENSG00000169860	652	652
ENSMUSG00000027770	65	65	ENSG00000174953	57.5	57.5
ENSMUSG00000027774	143	143	ENSG00000168827	84.33333333333333	107
ENSMUSG00000027775	77	77	ENSG00000118855	80.33333333333333	80
ENSMUSG00000027776	147	147	ENSG00000168811	250.33333333333334	222
ENSMUSG00000027777	153.5	151	ENSG00000151967	241.28571428571428	223
ENSMUSG00000027778	78.5	78.5	ENSG00000068885	127.88888888888889	111
ENSMUSG00000027782	149.5	149.5	ENSG00000186432	202.66666666666666	162
ENSMUSG00000027784	706	706	ENSG00000163590	191.83333333333334	90
ENSMUSG00000027787	76	76	ENSG00000169251	169	100.5
ENSMUSG00000027788	64.5	64.5	ENSG00000182447	NA	NA
ENSMUSG00000027790	63	63	ENSG00000090402	64	64
ENSMUSG00000027792	144.5	144.5	ENSG00000114200	59	59
ENSMUSG00000027793	96	91	ENSG00000133101	168	221
ENSMUSG00000027794	39	39	ENSG00000120669	46	46
ENSMUSG00000027796	159.5	159.5	NA	NA	NA
ENSMUSG00000027797	210.125	195.5	ENSG00000133083	165	166
ENSMUSG00000027799	466	466	ENSG00000172915	234.4	162
ENSMUSG00000027800	196	209	ENSG00000169908	113	113
ENSMUSG00000027801	301	301	ENSG00000169903	181	181
ENSMUSG00000027803	87.33333333333333	30	ENSG00000018408	144.6	150
ENSMUSG00000027804	108	108	ENSG00000171497	108	108
ENSMUSG00000027805	273	276	ENSG00000070087	104.6875	89
ENSMUSG00000027806	971.5	971.5	ENSG00000196428	1053	1053
ENSMUSG00000027808	399	399	ENSG00000120742	472.8	364
ENSMUSG00000027809	168.75	177.5	ENSG00000171503	138.9	142.5
ENSMUSG00000027810	238	238	ENSG00000144895	47.666666666666664	16
ENSMUSG00000027811	98	98	ENSG00000205208	88.5	88.5
ENSMUSG00000027820	158.5	153	ENSG00000196549	207.69230769230768	148
ENSMUSG00000027822	412	476	ENSG00000169359	437	432
ENSMUSG00000027823	178	178	ENSG00000163655	221	221
ENSMUSG00000027824	95	95	NA	NA	NA
ENSMUSG00000027827	196.33333333333334	138	ENSG00000169282	374	217
ENSMUSG00000027828	51	51	ENSG00000114850	64.83333333333333	48
ENSMUSG00000027829	121	121	ENSG00000163660	359.5	359.5
ENSMUSG00000027831	191	191	ENSG00000197415	148.85714285714286	156
ENSMUSG00000027832	152	152	ENSG00000163661	84	84
ENSMUSG00000027833	106.5	85	ENSG00000168779	186	136
ENSMUSG00000027834	57	57	ENSG00000163536	178	103
ENSMUSG00000027835	109.33333333333333	106.5	ENSG00000114209	94.73333333333333	87
ENSMUSG00000027840	449	449	ENSG00000134245	386.75	201
ENSMUSG00000027843	127	127	ENSG00000134242	98	89
ENSMUSG00000027845	226.5	207.5	ENSG00000118655	317.5	317.5
ENSMUSG00000027848	66	66	ENSG00000116774	153.8	190
ENSMUSG00000027849	161.85714285714286	147	ENSG00000134207	164.5	160
ENSMUSG00000027852	82.33333333333333	74	ENSG00000213281	65.5	65.5
ENSMUSG00000027854	57.5	57.5	ENSG00000052723	78	78
ENSMUSG00000027855	45.666666666666664	14	ENSG00000198765	101.4	149
ENSMUSG00000027857	41.142857142857146	41	ENSG00000134200	18	18
ENSMUSG00000027858	163.25	76.5	ENSG00000134198	69.5	69.5
ENSMUSG00000027859	56.166666666666664	51.5	ENSG00000134259	340.54545454545456	95
ENSMUSG00000027860	145.66666666666666	141	ENSG00000173218	88	96
ENSMUSG00000027861	158.5	158.5	ENSG00000118729	164.75	177
ENSMUSG00000027863	60	60	ENSG00000116824	44.5	44.5
ENSMUSG00000027864	138	138	ENSG00000134247	288	288
ENSMUSG00000027865	165.66666666666666	148	ENSG00000196505	125.66666666666667	136
ENSMUSG00000027867	75	75	ENSG00000155761	71	71
ENSMUSG00000027868	121	121	ENSG00000092607	287.6666666666667	202
ENSMUSG00000027869	162	162	ENSG00000203859	100.66666666666667	89
ENSMUSG00000027870	66.33333333333333	87	ENSG00000116882	125.5	121
ENSMUSG00000027871	125	123	NA	NA	NA
ENSMUSG00000027875	49	49	ENSG00000134240	61	61
ENSMUSG00000027876	82	82	ENSG00000134193	105.6	94
ENSMUSG00000027878	161	161	ENSG00000134250	233	233
ENSMUSG00000027879	132	121	ENSG00000265808	139	139
ENSMUSG00000027880	76	76	NA	NA	NA
ENSMUSG00000027881	285	285	ENSG00000134186	237.4	268
ENSMUSG00000027882	47.666666666666664	43	ENSG00000116266	64	64
ENSMUSG00000027883	258.5	258.5	ENSG00000121957	191.38888888888889	188
ENSMUSG00000027884	137.2	94	ENSG00000121940	132.6875	96
ENSMUSG00000027886	78	78	ENSG00000179902	124	124
ENSMUSG00000027887	231	231	ENSG00000143028	298	298
ENSMUSG00000027889	200.75	169	ENSG00000116337	197.33333333333334	131
ENSMUSG00000027890	90	61.5	ENSG00000168765	368.25	279.5
ENSMUSG00000027893	283	283	ENSG00000168710	352.25	304.5
ENSMUSG00000027894	250	250	ENSG00000197106	238.5	238.5
ENSMUSG00000027895	662	662	ENSG00000116396	407	27
ENSMUSG00000027896	106	101	ENSG00000168679	136.2	162
ENSMUSG00000027900	73.6	57	ENSG00000156171	167.66666666666666	115
ENSMUSG00000027901	204	204	ENSG00000162777	121.5	121.5
ENSMUSG00000027902	151	151	NA	NA	NA
ENSMUSG00000027905	147	147	ENSG00000064703	36.8	45
ENSMUSG00000027907	37	37	ENSG00000163191	89	89
ENSMUSG00000027908	38	38	ENSG00000182898	32.5	32.5
ENSMUSG00000027912	27.5	27.5	NA	NA	NA
ENSMUSG00000027913	55.5	63	NA	NA	NA
ENSMUSG00000027919	36.5	36.5	ENSG00000187223	35.5	35.5
ENSMUSG00000027923	36	36	NA	NA	NA
ENSMUSG00000027925	50.5	50.5	NA	NA	NA
ENSMUSG00000027927	56.5	56.5	ENSG00000203784	61.5	61.5
ENSMUSG00000027931	363	363	ENSG00000169418	421	421
ENSMUSG00000027932	137	137	ENSG00000143554	425.5	425.5
ENSMUSG00000027933	531.6666666666666	579	ENSG00000143624	265.75	198
ENSMUSG00000027935	89.75	86.5	ENSG00000285641	10	10
ENSMUSG00000027936	243	243	ENSG00000160741	97	97
ENSMUSG00000027937	353.5	353.5	ENSG00000143543	286.4	220
ENSMUSG00000027938	111.66666666666667	126	ENSG00000143578	134.6	74
ENSMUSG00000027939	34	34	ENSG00000143552	38	29
ENSMUSG00000027940	91.6	83	NA	NA	NA
ENSMUSG00000027942	178.42857142857142	185	NA	NA	NA
ENSMUSG00000027944	78.71428571428571	86	ENSG00000143575	87.84615384615384	95
ENSMUSG00000027947	140	140	ENSG00000160712	377	407
ENSMUSG00000027950	214	214	ENSG00000160716	238.5	238.5
ENSMUSG00000027951	218.6	94	ENSG00000160710	194.89285714285714	113.5
ENSMUSG00000027952	168	199	ENSG00000163344	34	34
ENSMUSG00000027953	67.5	67.5	ENSG00000169241	147.75	101.5
ENSMUSG00000027954	162.25	101	ENSG00000169242	102	102
ENSMUSG00000027955	231.33333333333334	239	ENSG00000164125	228.4	183
ENSMUSG00000027956	178.33333333333334	183	ENSG00000164124	424.2	102
ENSMUSG00000027957	225.75	158.5	ENSG00000117620	187.06666666666666	143
ENSMUSG00000027959	128.66666666666666	132	ENSG00000156876	116	116
ENSMUSG00000027961	112	112	ENSG00000122477	94.2	81
ENSMUSG00000027962	205.5	205.5	ENSG00000162692	107.33333333333333	106
ENSMUSG00000027963	249	318	ENSG00000162694	223	180
ENSMUSG00000027965	248.5	248.5	ENSG00000118733	90	110
ENSMUSG00000027966	361	361	ENSG00000060718	241.16666666666666	304
ENSMUSG00000027967	162	162	ENSG00000178403	167.5	167.5
ENSMUSG00000027968	84	84	ENSG00000174720	221.73333333333332	93
ENSMUSG00000027971	333.6666666666667	332	ENSG00000138653	373.1666666666667	211.5
ENSMUSG00000027973	62.5	62.5	NA	NA	NA
ENSMUSG00000027977	166.75	150.5	ENSG00000164100	131	131
ENSMUSG00000027978	246	246	ENSG00000164099	283	283
ENSMUSG00000027981	95	95	ENSG00000185946	247	302
ENSMUSG00000027983	85	85	ENSG00000155016	193.6	137
ENSMUSG00000027984	94	94	ENSG00000138796	118.83333333333333	61.5
ENSMUSG00000027985	508	508	ENSG00000138795	569.4	441
ENSMUSG00000027993	234.85714285714286	249	ENSG00000109654	247.52631578947367	197.5
ENSMUSG00000027994	93	93	ENSG00000005059	92	92
ENSMUSG00000027995	170.33333333333334	248	ENSG00000137462	212.6315789473684	117
ENSMUSG00000027996	221	221	ENSG00000145423	248	248
ENSMUSG00000027997	47.5	47.5	ENSG00000138794	87.33333333333333	50
ENSMUSG00000027998	107.5	107.5	ENSG00000171566	90.5	90.5
ENSMUSG00000027999	63	63	ENSG00000123739	213	213
ENSMUSG00000028001	139	139	NA	NA	NA
ENSMUSG00000028003	261	261	ENSG00000121207	95	61
ENSMUSG00000028004	133.4	124	ENSG00000185149	271	331
ENSMUSG00000028005	113	113	ENSG00000061918	108.66666666666667	115.5
ENSMUSG00000028007	27.5	27.5	ENSG00000162627	21	21
ENSMUSG00000028008	119	119	ENSG00000256394	51	51
ENSMUSG00000028010	145.5	145.5	ENSG00000109534	30.333333333333332	36
ENSMUSG00000028011	320.3333333333333	430	ENSG00000151790	63	63
ENSMUSG00000028012	37	17	ENSG00000180245	56	56
ENSMUSG00000028013	24	24	ENSG00000138777	13	13
ENSMUSG00000028015	64	64	ENSG00000256043	34.666666666666664	26.5
ENSMUSG00000028016	73	73	ENSG00000138785	186.16666666666666	162.5
ENSMUSG00000028017	118.42857142857143	123	ENSG00000138798	361.75	449.5
ENSMUSG00000028018	141.33333333333334	157	ENSG00000138780	126	92
ENSMUSG00000028019	1021	1021	ENSG00000145431	896	896
ENSMUSG00000028020	61.666666666666664	29	ENSG00000109738	121.8	148
ENSMUSG00000028023	280	263	NA	NA	NA
ENSMUSG00000028024	239	239	ENSG00000138792	260	260
ENSMUSG00000028028	219	180	ENSG00000073331	98.33333333333333	100
ENSMUSG00000028029	69.66666666666667	90	ENSG00000164022	553.6111111111111	78.5
ENSMUSG00000028030	139.5	139.5	ENSG00000145348	204	276
ENSMUSG00000028031	741	741	ENSG00000155011	202.16666666666666	91
ENSMUSG00000028032	96.28571428571429	88	ENSG00000138801	55	55
ENSMUSG00000028033	361	361	ENSG00000185760	194.6	126
ENSMUSG00000028034	104	98	ENSG00000162613	83.75	80.5
ENSMUSG00000028035	154	163	ENSG00000162616	172	172
ENSMUSG00000028036	185	154	ENSG00000122420	124.6	75
ENSMUSG00000028037	91.5	91.5	ENSG00000137965	42.5	42.5
ENSMUSG00000028039	93	93	ENSG00000251246	76	76
ENSMUSG00000028040	78	78	ENSG00000243364	78	84
ENSMUSG00000028041	92.75	95	ENSG00000143537	64.8	71
ENSMUSG00000028042	231.16666666666666	164	ENSG00000160685	118.75	120.5
